nroatc,codigoatc,codigoatc_L,descatc,label
1,A,A,A - TRACTO ALIMENTARIO Y METABOLISMO,A - TRACTO ALIMENTARIO Y METABOLISMO
2,A01,A01,A01 - PREPARADOS ESTOMATOLÓGICOS,A01 - PREPARADOS ESTOMATOLÓGICOS
3,A01A,A01A,A01A - PREPARADOS ESTOMATOLÓGICOS,A01A - PREPARADOS ESTOMATOLÓGICOS
4,A01AA,A01AA,A01AA - Agentes para la profilaxis de las caries,A01AA - Agentes para la profilaxis de las caries
5,A01AA01,A01AA01,A01AA01 - Fluoruro de sodio,A01AA01 - Fluoruro de sodio
6,A01AA02,A01AA02,A01AA02 - Monofluorfosfato de sodio,A01AA02 - Monofluorfosfato de sodio
7,A01AA03,A01AA03,A01AA03 - Olaflur,A01AA03 - Olaflur
8,A01AA04,A01AA04,A01AA04 - Fluoruro de estaño,A01AA04 - Fluoruro de estaño
9,A01AA30,A01AA30,A01AA30 - Combinaciones,A01AA30 - Combinaciones
10,A01AA51,A01AA51,"A01AA51 - Fluoruro de sodio, combinaciones","A01AA51 - Fluoruro de sodio, combinaciones"
11,A01AB,A01AB,A01AB - Antiinfecciosos y antisépticos para el tratamiento oral-local,A01AB - Antiinfecciosos y antisépticos para el tratamiento oral-local
12,A01AB02,A01AB02,A01AB02 - Peróxido de hidrógeno,A01AB02 - Peróxido de hidrógeno
13,A01AB03,A01AB03,A01AB03 - Clorhexidina,A01AB03 - Clorhexidina
14,A01AB04,A01AB04,A01AB04 - Amfotericina B,A01AB04 - Amfotericina B
15,A01AB05,A01AB05,A01AB05 - Polinoxilina,A01AB05 - Polinoxilina
16,A01AB06,A01AB06,A01AB06 - Domifeno,A01AB06 - Domifeno
17,A01AB07,A01AB07,A01AB07 - Oxiquinolina,A01AB07 - Oxiquinolina
18,A01AB08,A01AB08,A01AB08 - Neomicina,A01AB08 - Neomicina
19,A01AB09,A01AB09,A01AB09 - Miconazol,A01AB09 - Miconazol
20,A01AB10,A01AB10,A01AB10 - Natamicina,A01AB10 - Natamicina
21,A01AB11,A01AB11,A01AB11 - Varios,A01AB11 - Varios
22,A01AB12,A01AB12,A01AB12 - Hexetidina,A01AB12 - Hexetidina
23,A01AB13,A01AB13,A01AB13 - Tetraciclina,A01AB13 - Tetraciclina
24,A01AB14,A01AB14,"A01AB14 - Benzoxonio, cloruro de","A01AB14 - Benzoxonio, cloruro de"
25,A01AB15,A01AB15,"A01AB15 - Tibezonio, ioduro de","A01AB15 - Tibezonio, ioduro de"
26,A01AB16,A01AB16,A01AB16 - Mepartricina,A01AB16 - Mepartricina
27,A01AB17,A01AB17,A01AB17 - Metronidazol,A01AB17 - Metronidazol
28,A01AB18,A01AB18,A01AB18 - Clotrimazol,A01AB18 - Clotrimazol
29,A01AB19,A01AB19,A01AB19 - Perborato de sodio,A01AB19 - Perborato de sodio
30,A01AB21,A01AB21,A01AB21 - Clortetraciclina,A01AB21 - Clortetraciclina
31,A01AB22,A01AB22,A01AB22 - Doxiciclina,A01AB22 - Doxiciclina
32,A01AC,A01AC,A01AC - Corticosteroides para tratamiento oral-local,A01AC - Corticosteroides para tratamiento oral-local
33,A01AC01,A01AC01,A01AC01 - Triamcinolona,A01AC01 - Triamcinolona
34,A01AC02,A01AC02,A01AC02 - Dexametasona,A01AC02 - Dexametasona
35,A01AC03,A01AC03,A01AC03 - Hidrocortisona,A01AC03 - Hidrocortisona
36,A01AC54,A01AC54,"A01AC54 - Prednisolona, combinaciones","A01AC54 - Prednisolona, combinaciones"
37,A01AD,A01AD,A01AD - Otros agentes para tratamiento oral-local,A01AD - Otros agentes para tratamiento oral-local
38,A01AD01,A01AD01,A01AD01 - Epinefrina,A01AD01 - Epinefrina
39,A01AD02,A01AD02,A01AD02 - Bencidamina,A01AD02 - Bencidamina
40,A01AD05,A01AD05,A01AD05 - Ácido acetilsalicílico,A01AD05 - Ácido acetilsalicílico
41,A01AD06,A01AD06,A01AD06 - Adrenalona,A01AD06 - Adrenalona
42,A01AD07,A01AD07,A01AD07 - Amlexanox,A01AD07 - Amlexanox
43,A01AD11,A01AD11,A01AD11 - Varios,A01AD11 - Varios
44,A02,A02,A02 - AGENTES PARA EL TRATAMIENTO DE ALTERACIONES CAUSADAS POR ÁCIDOS,A02 - AGENTES PARA EL TRATAMIENTO DE ALTERACIONES CAUSADAS POR ÁCIDOS
45,A02A,A02A,A02A - ANTIÁCIDOS,A02A - ANTIÁCIDOS
46,A02AA,A02AA,A02AA - Compuestos de magnesio,A02AA - Compuestos de magnesio
47,A02AA01,A02AA01,A02AA01 - Carbonato de magnesio,A02AA01 - Carbonato de magnesio
48,A02AA02,A02AA02,A02AA02 - Óxido de magnesio,A02AA02 - Óxido de magnesio
49,A02AA03,A02AA03,A02AA03 - Peróxido de magnesio,A02AA03 - Peróxido de magnesio
50,A02AA04,A02AA04,A02AA04 - Hidróxido de magnesio,A02AA04 - Hidróxido de magnesio
51,A02AA05,A02AA05,A02AA05 - Silicato de magnesio,A02AA05 - Silicato de magnesio
52,A02AA10,A02AA10,A02AA10 - Combinaciones,A02AA10 - Combinaciones
53,A02AB,A02AB,A02AB - Compuestos de aluminio,A02AB - Compuestos de aluminio
54,A02AB01,A02AB01,A02AB01 - Hidróxido de aluminio,A02AB01 - Hidróxido de aluminio
55,A02AB02,A02AB02,A02AB02 - Algeldrato,A02AB02 - Algeldrato
56,A02AB03,A02AB03,A02AB03 - Fosfato de aluminio,A02AB03 - Fosfato de aluminio
57,A02AB04,A02AB04,A02AB04 - Carbonato sódico de dihidroxialuminio,A02AB04 - Carbonato sódico de dihidroxialuminio
58,A02AB05,A02AB05,A02AB05 - Acetoacetato de aluminio,A02AB05 - Acetoacetato de aluminio
59,A02AB06,A02AB06,A02AB06 - Aloglutamol,A02AB06 - Aloglutamol
60,A02AB07,A02AB07,A02AB07 - Glicinato de aluminio,A02AB07 - Glicinato de aluminio
61,A02AB10,A02AB10,A02AB10 - Combinaciones,A02AB10 - Combinaciones
62,A02AC,A02AC,A02AC - Compuestos de calcio,A02AC - Compuestos de calcio
63,A02AC01,A02AC01,A02AC01 - Carbonato de calcio,A02AC01 - Carbonato de calcio
64,A02AC02,A02AC02,A02AC02 - Silicato de calcio,A02AC02 - Silicato de calcio
65,A02AC10,A02AC10,A02AC10 - Combinaciones,A02AC10 - Combinaciones
66,A02AD,A02AD,"A02AD - Combinaciones y complejos de compuesto de aluminio, calcio y magnesio","A02AD - Combinaciones y complejos de compuesto de aluminio, calcio y magnesio"
67,A02AD01,A02AD01,A02AD01 - Combinaciones de sales simples,A02AD01 - Combinaciones de sales simples
68,A02AD02,A02AD02,A02AD02 - Magaldrato,A02AD02 - Magaldrato
69,A02AD03,A02AD03,A02AD03 - Almagato,A02AD03 - Almagato
70,A02AD04,A02AD04,A02AD04 - Hidrotalcita,A02AD04 - Hidrotalcita
71,A02AD05,A02AD05,A02AD05 - Almasilato,A02AD05 - Almasilato
72,A02AF,A02AF,A02AF - Antiácidos con carminativos,A02AF - Antiácidos con carminativos
73,A02AF01,A02AF01,A02AF01 - Magaldrato y carminativos,A02AF01 - Magaldrato y carminativos
74,A02AF02,A02AF02,A02AF02 - Combinaciones de sales simples y carminativos,A02AF02 - Combinaciones de sales simples y carminativos
75,A02AG,A02AG,A02AG - Antiácidos con antiespasmódicos,A02AG - Antiácidos con antiespasmódicos
76,A02AH,A02AH,A02AH - Antiácidos con bicarbonato de sodio,A02AH - Antiácidos con bicarbonato de sodio
77,A02AX,A02AX,A02AX - Otras combinaciones con antiácidos,A02AX - Otras combinaciones con antiácidos
78,A02B,A02B,A02B - AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD),A02B - AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD)
79,A02BA,A02BA,A02BA - Antagonistas del receptor H2,A02BA - Antagonistas del receptor H2
80,A02BA01,A02BA01,A02BA01 - Cimetidina,A02BA01 - Cimetidina
81,A02BA02,A02BA02,A02BA02 - Ranitidina,A02BA02 - Ranitidina
82,A02BA03,A02BA03,A02BA03 - Famotidina,A02BA03 - Famotidina
83,A02BA04,A02BA04,A02BA04 - Nizatidina,A02BA04 - Nizatidina
84,A02BA05,A02BA05,A02BA05 - Niperotidina,A02BA05 - Niperotidina
85,A02BA06,A02BA06,A02BA06 - Roxatidina,A02BA06 - Roxatidina
86,A02BA07,A02BA07,A02BA07 - Ranitidina y citrato de bismuto,A02BA07 - Ranitidina y citrato de bismuto
87,A02BA51,A02BA51,"A02BA51 - Cimetidina, combinaciones con","A02BA51 - Cimetidina, combinaciones con"
88,A02BB,A02BB,A02BB - Prostaglandinas,A02BB - Prostaglandinas
89,A02BB01,A02BB01,A02BB01 - Misoprostol,A02BB01 - Misoprostol
90,A02BB02,A02BB02,A02BB02 - Enprostilo,A02BB02 - Enprostilo
91,A02BC,A02BC,A02BC - Inhibidores de la bomba de protones,A02BC - Inhibidores de la bomba de protones
92,A02BC01,A02BC01,A02BC01 - Omeprazol,A02BC01 - Omeprazol
93,A02BC02,A02BC02,A02BC02 - Pantoprazol,A02BC02 - Pantoprazol
94,A02BC03,A02BC03,A02BC03 - Lansoprazol,A02BC03 - Lansoprazol
95,A02BC04,A02BC04,A02BC04 - Rabeprazol,A02BC04 - Rabeprazol
96,A02BC05,A02BC05,A02BC05 - Esomeprazol,A02BC05 - Esomeprazol
97,A02BD,A02BD,A02BD - Combinaciones para la erradicación del Helicobacter pylori,A02BD - Combinaciones para la erradicación del Helicobacter pylori
98,A02BD01,A02BD01,"A02BD01 - Omeprazol, amoxicilina y metronidazol","A02BD01 - Omeprazol, amoxicilina y metronidazol"
99,A02BD02,A02BD02,"A02BD02 - Lansoprazol, tetraciclinas y metronidazol","A02BD02 - Lansoprazol, tetraciclinas y metronidazol"
100,A02BD03,A02BD03,"A02BD03 - Lansoprazol, amoxicilina y metronidazol","A02BD03 - Lansoprazol, amoxicilina y metronidazol"
101,A02BD04,A02BD04,"A02BD04 - Pantoprazol, amoxicilina y claritromicina","A02BD04 - Pantoprazol, amoxicilina y claritromicina"
102,A02BD05,A02BD05,"A02BD05 - Omeprazol, amoxicilina y claritromicina","A02BD05 - Omeprazol, amoxicilina y claritromicina"
103,A02BD06,A02BD06,"A02BD06 - Esomeprazol, amoxicilina y claritromicina","A02BD06 - Esomeprazol, amoxicilina y claritromicina"
104,A02BX,A02BX,A02BX - Otros agentes contra la úlcera péptica y el reflujo gastroesofágico (RGE/GORD),A02BX - Otros agentes contra la úlcera péptica y el reflujo gastroesofágico (RGE/GORD)
105,A02BX01,A02BX01,A02BX01 - Carbenoxolona,A02BX01 - Carbenoxolona
106,A02BX02,A02BX02,A02BX02 - Sucralfato,A02BX02 - Sucralfato
107,A02BX03,A02BX03,A02BX03 - Pirenzepina,A02BX03 - Pirenzepina
108,A02BX04,A02BX04,"A02BX04 - Metiosulfonio, cloruro de","A02BX04 - Metiosulfonio, cloruro de"
109,A02BX05,A02BX05,A02BX05 - Subcitrato de bismuto,A02BX05 - Subcitrato de bismuto
110,A02BX06,A02BX06,A02BX06 - Proglumida,A02BX06 - Proglumida
111,A02BX07,A02BX07,A02BX07 - Gefarnato,A02BX07 - Gefarnato
112,A02BX08,A02BX08,A02BX08 - Sulglicotida,A02BX08 - Sulglicotida
113,A02BX09,A02BX09,A02BX09 - Acetoxolona,A02BX09 - Acetoxolona
114,A02BX10,A02BX10,A02BX10 - Zolimidina,A02BX10 - Zolimidina
115,A02BX11,A02BX11,A02BX11 - Troxipida,A02BX11 - Troxipida
116,A02BX12,A02BX12,A02BX12 - Subnitrato de bismuto,A02BX12 - Subnitrato de bismuto
117,A02BX13,A02BX13,A02BX13 - Ácido algínico,A02BX13 - Ácido algínico
118,A02BX51,A02BX51,"A02BX51 - Carbenoxolona, combinaciones excluyendo psicolépticos","A02BX51 - Carbenoxolona, combinaciones excluyendo psicolépticos"
119,A02BX71,A02BX71,"A02BX71 - Carbenoxolona, combinaciones con psicolépticos","A02BX71 - Carbenoxolona, combinaciones con psicolépticos"
120,A02BX77,A02BX77,"A02BX77 - Gefarnato, combinaciones con psicolépticos","A02BX77 - Gefarnato, combinaciones con psicolépticos"
121,A02X,A02X,A02X - OTROS AGENTES CONTRA ALTERACIONES CAUSADAS POR ÁCIDOS,A02X - OTROS AGENTES CONTRA ALTERACIONES CAUSADAS POR ÁCIDOS
122,A03,A03,A03 - AGENTES CONTRA PADECIMIENTOS FUNCIONALES DEL ESTÓMAGO E INTESTINO,A03 - AGENTES CONTRA PADECIMIENTOS FUNCIONALES DEL ESTÓMAGO E INTESTINO
123,A03A,A03A,A03A - AGENTES CONTRA PADECIMIENTOS FUNCIONALES DEL ESTÓMAGO,A03A - AGENTES CONTRA PADECIMIENTOS FUNCIONALES DEL ESTÓMAGO
124,A03AA,A03AA,"A03AA - Anticolinérgicos sintéticos, ésteres con grupo amino terciario","A03AA - Anticolinérgicos sintéticos, ésteres con grupo amino terciario"
125,A03AA01,A03AA01,A03AA01 - Oxifenciclimina,A03AA01 - Oxifenciclimina
126,A03AA03,A03AA03,A03AA03 - Camilofina,A03AA03 - Camilofina
127,A03AA04,A03AA04,A03AA04 - Mebeverina,A03AA04 - Mebeverina
128,A03AA05,A03AA05,A03AA05 - Trimebutina,A03AA05 - Trimebutina
129,A03AA06,A03AA06,A03AA06 - Rociverina,A03AA06 - Rociverina
130,A03AA07,A03AA07,A03AA07 - Dicicloverina,A03AA07 - Dicicloverina
131,A03AA08,A03AA08,A03AA08 - Dihexiverina,A03AA08 - Dihexiverina
132,A03AA09,A03AA09,A03AA09 - Difemerina,A03AA09 - Difemerina
133,A03AA30,A03AA30,A03AA30 - Piperidolato,A03AA30 - Piperidolato
134,A03AB,A03AB,"A03AB - Anticolinérgicos sintéticos, compuestos de amonio cuaternario","A03AB - Anticolinérgicos sintéticos, compuestos de amonio cuaternario"
135,A03AB01,A03AB01,"A03AB01 - Bencilonio, bromuro de","A03AB01 - Bencilonio, bromuro de"
136,A03AB02,A03AB02,"A03AB02 - Glicopirronio, bromuro de","A03AB02 - Glicopirronio, bromuro de"
137,A03AB03,A03AB03,"A03AB03 - Oxifenonio, bromuro de","A03AB03 - Oxifenonio, bromuro de"
138,A03AB04,A03AB04,A03AB04 - Pentienato,A03AB04 - Pentienato
139,A03AB05,A03AB05,A03AB05 - Propantelina,A03AB05 - Propantelina
140,A03AB06,A03AB06,"A03AB06 - Otilonio, bromuro de","A03AB06 - Otilonio, bromuro de"
141,A03AB07,A03AB07,A03AB07 - Metantelinio,A03AB07 - Metantelinio
142,A03AB08,A03AB08,A03AB08 - Tridihexetilo,A03AB08 - Tridihexetilo
143,A03AB09,A03AB09,A03AB09 - Isopropamida,A03AB09 - Isopropamida
144,A03AB10,A03AB10,A03AB10 - Hexociclio,A03AB10 - Hexociclio
145,A03AB11,A03AB11,A03AB11 - Poldina,A03AB11 - Poldina
146,A03AB12,A03AB12,A03AB12 - Mepenzolato,A03AB12 - Mepenzolato
147,A03AB13,A03AB13,"A03AB13 - Bevonio, metilsulfato de","A03AB13 - Bevonio, metilsulfato de"
148,A03AB14,A03AB14,A03AB14 - Pipenzolato,A03AB14 - Pipenzolato
149,A03AB15,A03AB15,A03AB15 - Difemanilo,A03AB15 - Difemanilo
150,A03AB16,A03AB16,"A03AB16 - (2-benzhidroxiloxietil)dietilmetilamonio, ioduro de","A03AB16 - (2-benzhidroxiloxietil)dietilmetilamonio, ioduro de"
151,A03AB17,A03AB17,"A03AB17 - Tiemonio, ioduro de","A03AB17 - Tiemonio, ioduro de"
152,A03AB18,A03AB18,"A03AB18 - Prifinio, bromuro de","A03AB18 - Prifinio, bromuro de"
153,A03AB19,A03AB19,"A03AB19 - Timepidio, bromuro de","A03AB19 - Timepidio, bromuro de"
154,N07BA03,N07BA03,N07BA03 - Vareniclina,N07BA03 - Vareniclina
155,A03AB21,A03AB21,"A03AB21 - Fenpiverinio, bromuro de","A03AB21 - Fenpiverinio, bromuro de"
156,A03AB53,A03AB53,"A03AB53 - Oxifenonio, bromuro de, combinaciones con","A03AB53 - Oxifenonio, bromuro de, combinaciones con"
157,A03AC,A03AC,"A03AC - Antiespasmódicos sintéticos, amidas con aminas terciarias","A03AC - Antiespasmódicos sintéticos, amidas con aminas terciarias"
158,A03AC02,A03AC02,A03AC02 - Dimetilaminopropionilfenotiazina,A03AC02 - Dimetilaminopropionilfenotiazina
159,A03AC04,A03AC04,A03AC04 - Nicofetamida,A03AC04 - Nicofetamida
160,A03AC05,A03AC05,A03AC05 - Tiropramida,A03AC05 - Tiropramida
161,A03AD,A03AD,A03AD - Papaverina y derivados,A03AD - Papaverina y derivados
162,A03AD01,A03AD01,A03AD01 - Papaverina,A03AD01 - Papaverina
163,A03AD02,A03AD02,A03AD02 - Drotaverina,A03AD02 - Drotaverina
164,A03AD30,A03AD30,A03AD30 - Moxaverina,A03AD30 - Moxaverina
165,A03AE,A03AE,A03AE - Agentes con efecto en los receptores de serotonina,A03AE - Agentes con efecto en los receptores de serotonina
166,A03AE01,A03AE01,A03AE01 - Alosetrón,A03AE01 - Alosetrón
167,A03AE02,A03AE02,A03AE02 - Tegaserod,A03AE02 - Tegaserod
168,A03AX,A03AX,A03AX - Otros agentes contra padecimientos funcionales del estómago,A03AX - Otros agentes contra padecimientos funcionales del estómago
169,A03AX01,A03AX01,A03AX01 - Fenpiprano,A03AX01 - Fenpiprano
170,A03AX02,A03AX02,A03AX02 - Diisopromina,A03AX02 - Diisopromina
171,A03AX03,A03AX03,A03AX03 - Clorbenzoxamina,A03AX03 - Clorbenzoxamina
172,A03AX04,A03AX04,A03AX04 - Pinaverio,A03AX04 - Pinaverio
173,A03AX05,A03AX05,A03AX05 - Fenoverina,A03AX05 - Fenoverina
174,A03AX06,A03AX06,A03AX06 - Idanpramina,A03AX06 - Idanpramina
175,A03AX07,A03AX07,A03AX07 - Proxazol,A03AX07 - Proxazol
176,A03AX08,A03AX08,A03AX08 - Alverina,A03AX08 - Alverina
177,A03AX09,A03AX09,A03AX09 - Trepibutona,A03AX09 - Trepibutona
178,A03AX10,A03AX10,A03AX10 - Isometepteno,A03AX10 - Isometepteno
179,A03AX11,A03AX11,A03AX11 - Caroverina,A03AX11 - Caroverina
180,A03AX12,A03AX12,A03AX12 - Floroglucinol,A03AX12 - Floroglucinol
181,A03AX13,A03AX13,A03AX13 - Siliconas,A03AX13 - Siliconas
182,A03AX30,A03AX30,A03AX30 - Difeniltrimetilpropilamina,A03AX30 - Difeniltrimetilpropilamina
183,A03AX58,A03AX58,"A03AX58 - Alverina, combinaciones con","A03AX58 - Alverina, combinaciones con"
184,A03B,A03B,"A03B - BELLADONA Y DERIVADOS, MONOFÁRMACOS","A03B - BELLADONA Y DERIVADOS, MONOFÁRMACOS"
185,A03BA,A03BA,"A03BA - Alcaloides de la belladona, aminas terciarias","A03BA - Alcaloides de la belladona, aminas terciarias"
186,A03BA01,A03BA01,A03BA01 - Atropina,A03BA01 - Atropina
187,A03BA03,A03BA03,A03BA03 - Hiosciamina,A03BA03 - Hiosciamina
188,A03BA04,A03BA04,"A03BA04 - Belladona, alcaloides totales de","A03BA04 - Belladona, alcaloides totales de"
189,A03BB,A03BB,"A03BB - Alcaloides semisintéticos de la belladona, compuestos de amonio cuaternario","A03BB - Alcaloides semisintéticos de la belladona, compuestos de amonio cuaternario"
190,A03BB01,A03BB01,A03BB01 - Butilescopolamina,A03BB01 - Butilescopolamina
191,A03BB02,A03BB02,A03BB02 - Metilatropina,A03BB02 - Metilatropina
192,A03BB03,A03BB03,A03BB03 - Metilescopolamina,A03BB03 - Metilescopolamina
193,A03BB04,A03BB04,"A03BB04 - Fentonio, bromuro de","A03BB04 - Fentonio, bromuro de"
194,A03BB05,A03BB05,"A03BB05 - Cimetropio, bromuro de","A03BB05 - Cimetropio, bromuro de"
195,A03C,A03C,A03C - ANTIESPASMÓDICOS EN COMBINACIÓN CON PSICOLÉPTICOS,A03C - ANTIESPASMÓDICOS EN COMBINACIÓN CON PSICOLÉPTICOS
196,A03CA,A03CA,A03CA - Agentes anticolinérgicos sintéticos en combinación con psicolépticos,A03CA - Agentes anticolinérgicos sintéticos en combinación con psicolépticos
197,A03CA01,A03CA01,A03CA01 - Isopropamida y psicolépticos,A03CA01 - Isopropamida y psicolépticos
198,A03CA02,A03CA02,"A03CA02 - Clidinio, bromuro de, y psicolépticos","A03CA02 - Clidinio, bromuro de, y psicolépticos"
199,A03CA03,A03CA03,A03CA03 - Oxifenciclimina y psicolépticos,A03CA03 - Oxifenciclimina y psicolépticos
200,A03CA04,A03CA04,"A03CA04 - Otilonio, bromuro de, y psicolépticos","A03CA04 - Otilonio, bromuro de, y psicolépticos"
201,A03CA05,A03CA05,"A03CA05 - Glicopirronio, bromuro de, y psicolépticos","A03CA05 - Glicopirronio, bromuro de, y psicolépticos"
202,A03CA06,A03CA06,"A03CA06 - Bevonio, metilsulfato de, y psicolépticos","A03CA06 - Bevonio, metilsulfato de, y psicolépticos"
203,A03CA07,A03CA07,"A03CA07 - Ambutonio, bromuro de, y psicolépticos","A03CA07 - Ambutonio, bromuro de, y psicolépticos"
204,A03CA08,A03CA08,A03CA08 - Difemanilo y psicolépticos,A03CA08 - Difemanilo y psicolépticos
205,A03CA30,A03CA30,"A03CA30 - Emepronio, bromuro de, y psicolépticos","A03CA30 - Emepronio, bromuro de, y psicolépticos"
206,A03CA34,A03CA34,A03CA34 - Propantelina y psicolépticos,A03CA34 - Propantelina y psicolépticos
207,A03CB,A03CB,A03CB - Belladona y derivados en combinación con psicolépticos,A03CB - Belladona y derivados en combinación con psicolépticos
208,A03CB01,A03CB01,A03CB01 - Metilescopolamina y psicolépticos,A03CB01 - Metilescopolamina y psicolépticos
209,A03CB02,A03CB02,"A03CB02 - Belladona, alcaloides totales de y psicolépticos","A03CB02 - Belladona, alcaloides totales de y psicolépticos"
210,A03CB03,A03CB03,A03CB03 - Atropina y psicolépticos,A03CB03 - Atropina y psicolépticos
211,A03CB04,A03CB04,A03CB04 - Metilhomatropina y psicolépticos,A03CB04 - Metilhomatropina y psicolépticos
212,A03CB31,A03CB31,A03CB31 - Hiosciamina y psicolépticos,A03CB31 - Hiosciamina y psicolépticos
213,A03CC,A03CC,A03CC - Otros antiespasmódicos en combinación con psicolépticos,A03CC - Otros antiespasmódicos en combinación con psicolépticos
214,A03D,A03D,A03D - ANTIESPASMÓDICOS EN COMBINACIÓN CON ANALGÉSICOS,A03D - ANTIESPASMÓDICOS EN COMBINACIÓN CON ANALGÉSICOS
215,A03DA,A03DA,A03DA - Agentes anticolinérgicos sintéticos en combinación con analgésicos,A03DA - Agentes anticolinérgicos sintéticos en combinación con analgésicos
216,A03DA01,A03DA01,A03DA01 - Tropenzilina y analgésicos,A03DA01 - Tropenzilina y analgésicos
217,A03DA02,A03DA02,A03DA02 - Pitofenona y analgésicos,A03DA02 - Pitofenona y analgésicos
218,A03DA03,A03DA03,"A03DA03 - Bevonio, metilsulfato de, y analgésicos","A03DA03 - Bevonio, metilsulfato de, y analgésicos"
219,A03DA04,A03DA04,"A03DA04 - Ciclonio, bromuro de, y analgésicos","A03DA04 - Ciclonio, bromuro de, y analgésicos"
220,A03DA05,A03DA05,A03DA05 - Camilofina y analgésicos,A03DA05 - Camilofina y analgésicos
221,A03DA06,A03DA06,"A03DA06 - Trospio, cloruro de, y analgésicos","A03DA06 - Trospio, cloruro de, y analgésicos"
222,A03DA07,A03DA07,"A03DA07 - Tiemonio, ioduro de, y analgésicos","A03DA07 - Tiemonio, ioduro de, y analgésicos"
223,A03DB,A03DB,A03DB - Belladona y derivados en combinación con analgésicos,A03DB - Belladona y derivados en combinación con analgésicos
224,A03DB04,A03DB04,A03DB04 - Butilescopolamina y analgésicos,A03DB04 - Butilescopolamina y analgésicos
225,A03DC,A03DC,A03DC - Otros antiespasmódicos en combinación con analgésicos,A03DC - Otros antiespasmódicos en combinación con analgésicos
226,A03E,A03E,A03E - ANTIESPASMÓDICOS Y ANTICOLINÉRGICOS EN COMBINACIÓN CON OTROS FÁRMACOS,A03E - ANTIESPASMÓDICOS Y ANTICOLINÉRGICOS EN COMBINACIÓN CON OTROS FÁRMACOS
227,A03EA,A03EA,"A03EA - Antiespasmódicos, psicolépticos y analgésicos en combinación","A03EA - Antiespasmódicos, psicolépticos y analgésicos en combinación"
228,A03ED,A03ED,A03ED - Antiespasmódicos en combinación con otros fármacos,A03ED - Antiespasmódicos en combinación con otros fármacos
229,A03F,A03F,A03F - PROPULSIVOS,A03F - PROPULSIVOS
230,A03FA,A03FA,A03FA - Propulsivos,A03FA - Propulsivos
231,A03FA01,A03FA01,A03FA01 - Metoclopramida,A03FA01 - Metoclopramida
232,A03FA02,A03FA02,A03FA02 - Cisaprida,A03FA02 - Cisaprida
233,A03FA03,A03FA03,A03FA03 - Domperidona,A03FA03 - Domperidona
234,A03FA04,A03FA04,A03FA04 - Bromoprida,A03FA04 - Bromoprida
235,A03FA05,A03FA05,A03FA05 - Alizaprida,A03FA05 - Alizaprida
236,A03FA06,A03FA06,A03FA06 - Cleboprida,A03FA06 - Cleboprida
237,A04,A04,A04 - ANTIEMÉTICOS Y FÁRMACOS PARA LAS NAUSEAS,A04 - ANTIEMÉTICOS Y FÁRMACOS PARA LAS NAUSEAS
238,A04A,A04A,A04A - ANTIEMÉTICOS Y FÁRMACOS PARA LAS NAUSEAS,A04A - ANTIEMÉTICOS Y FÁRMACOS PARA LAS NAUSEAS
239,A04AA,A04AA,A04AA - Antagonistas de receptores de serotonina (5-HT3),A04AA - Antagonistas de receptores de serotonina (5-HT3)
240,A04AA01,A04AA01,A04AA01 - Ondansetrón,A04AA01 - Ondansetrón
241,A04AA02,A04AA02,A04AA02 - Granisetrón,A04AA02 - Granisetrón
242,A04AA03,A04AA03,A04AA03 - Tropisetrón,A04AA03 - Tropisetrón
243,A04AA04,A04AA04,A04AA04 - Dolasetrón,A04AA04 - Dolasetrón
244,A04AD,A04AD,A04AD - Otros antieméticos,A04AD - Otros antieméticos
245,A04AD01,A04AD01,A04AD01 - Escopolamina,A04AD01 - Escopolamina
246,A04AD02,A04AD02,A04AD02 - Oxalato de cerio,A04AD02 - Oxalato de cerio
247,A04AD04,A04AD04,A04AD04 - Clorobutanol,A04AD04 - Clorobutanol
248,A04AD05,A04AD05,A04AD05 - Metopimazina,A04AD05 - Metopimazina
249,A04AD10,A04AD10,A04AD10 - Dronabinol,A04AD10 - Dronabinol
250,A04AD11,A04AD11,A04AD11 - Nabilona,A04AD11 - Nabilona
251,A04AD51,A04AD51,"A04AD51 - Escopolamina, combinaciones con","A04AD51 - Escopolamina, combinaciones con"
252,A04AD54,A04AD54,"A04AD54 - Clorobutanol, combinaciones con","A04AD54 - Clorobutanol, combinaciones con"
253,A05,A05,A05 - TERAPIA BILIAR Y HEPÁTICA,A05 - TERAPIA BILIAR Y HEPÁTICA
254,A05A,A05A,A05A - TERAPIA BILIAR,A05A - TERAPIA BILIAR
255,A05AA,A05AA,A05AA - Acidos biliares y derivados,A05AA - Acidos biliares y derivados
256,A05AA01,A05AA01,A05AA01 - Ácido quenodesoxicólico,A05AA01 - Ácido quenodesoxicólico
257,A05AA02,A05AA02,A05AA02 - Ácido ursodesoxicólico,A05AA02 - Ácido ursodesoxicólico
258,A05AB,A05AB,A05AB - Preparados para la terapia del tracto biliar,A05AB - Preparados para la terapia del tracto biliar
259,A05AB01,A05AB01,A05AB01 - Nicotinil metilamida,A05AB01 - Nicotinil metilamida
260,A05AX,A05AX,A05AX - Otros fármacos para terapia biliar,A05AX - Otros fármacos para terapia biliar
