nroatc,codigoatc,codigoatc_L,descatc,label
3990,P01BE02,P01BE02,P01BE02 - Artemetero,P01BE02 - Artemetero
3991,P01BE03,P01BE03,P01BE03 - Artesunato,P01BE03 - Artesunato
3992,P01BE04,P01BE04,P01BE04 - Artemotilo,P01BE04 - Artemotilo
3993,P01BE05,P01BE05,P01BE05 - Artenimol,P01BE05 - Artenimol
3994,P01BE52,P01BE52,"P01BE52 - Artemetero, combinaciones","P01BE52 - Artemetero, combinaciones"
3995,P01BX,P01BX,P01BX - Otros antipalúdicos,P01BX - Otros antipalúdicos
3996,P01BX01,P01BX01,P01BX01 - Halofantrina,P01BX01 - Halofantrina
3997,P01C,P01C,P01C - AGENTES CONTRA LA LEISHMANIASIS Y OTRAS TRIPANOSOMIASIS,P01C - AGENTES CONTRA LA LEISHMANIASIS Y OTRAS TRIPANOSOMIASIS
3998,P01CA,P01CA,P01CA - Derivados del nitroimidazol,P01CA - Derivados del nitroimidazol
3999,P01CA02,P01CA02,P01CA02 - Benznidazol,P01CA02 - Benznidazol
4000,P01CB,P01CB,P01CB - Compuestos antimoniales,P01CB - Compuestos antimoniales
4001,P01CB01,P01CB01,"P01CB01 - Meglumina, antimoniato de","P01CB01 - Meglumina, antimoniato de"
4002,P01CB02,P01CB02,P01CB02 - Estibogluconato de sodio,P01CB02 - Estibogluconato de sodio
4003,P01CC,P01CC,P01CC - Derivados del nitrofurano,P01CC - Derivados del nitrofurano
4004,P01CC01,P01CC01,P01CC01 - Nifurtimox,P01CC01 - Nifurtimox
4005,P01CC02,P01CC02,P01CC02 - Nitrofural,P01CC02 - Nitrofural
4006,P01CD,P01CD,P01CD - Compuestos del arsénico,P01CD - Compuestos del arsénico
4007,P01CD01,P01CD01,P01CD01 - Melarsoprol,P01CD01 - Melarsoprol
4008,P01CD02,P01CD02,P01CD02 - Acetarsol,P01CD02 - Acetarsol
4009,P01CX,P01CX,P01CX - Otros agentes contra la leishmaniasis y tripanosomiasis,P01CX - Otros agentes contra la leishmaniasis y tripanosomiasis
4010,P01CX01,P01CX01,"P01CX01 - Pentamidina, isetionanto de","P01CX01 - Pentamidina, isetionanto de"
4011,P01CX02,P01CX02,P01CX02 - Suramina sódica,P01CX02 - Suramina sódica
4012,P01CX03,P01CX03,P01CX03 - Eflornitina,P01CX03 - Eflornitina
4013,P02,P02,P02 - ANTIHELMÍNTICOS,P02 - ANTIHELMÍNTICOS
4014,P02B,P02B,P02B - ANTITREMATODOS,P02B - ANTITREMATODOS
4015,P02BA,P02BA,P02BA - Derivados de la quinolina y sustancias relacionadas,P02BA - Derivados de la quinolina y sustancias relacionadas
4016,P02BA01,P02BA01,P02BA01 - Prazicuantel,P02BA01 - Prazicuantel
4017,P02BA02,P02BA02,P02BA02 - Oxamniquina,P02BA02 - Oxamniquina
4018,P02BB,P02BB,P02BB - Compuestos organofosforados,P02BB - Compuestos organofosforados
4019,P02BB01,P02BB01,P02BB01 - Metrifonato,P02BB01 - Metrifonato
4020,P02BX,P02BX,P02BX - Otros agentes antitrematodos,P02BX - Otros agentes antitrematodos
4021,P02BX01,P02BX01,P02BX01 - Bitionol,P02BX01 - Bitionol
4022,P02BX02,P02BX02,P02BX02 - Niridazol,P02BX02 - Niridazol
4023,P02BX03,P02BX03,P02BX03 - Estibofeno,P02BX03 - Estibofeno
4024,P02C,P02C,P02C - ANTINEMATODOS,P02C - ANTINEMATODOS
4025,P02CA,P02CA,P02CA - Derivados del benzimidazol,P02CA - Derivados del benzimidazol
4026,P02CA01,P02CA01,P02CA01 - Mebendazol,P02CA01 - Mebendazol
4027,P02CA02,P02CA02,P02CA02 - Tiabendazol,P02CA02 - Tiabendazol
4028,P02CA03,P02CA03,P02CA03 - Albendazol,P02CA03 - Albendazol
4029,P02CA04,P02CA04,P02CA04 - Ciclobendazol,P02CA04 - Ciclobendazol
4030,P02CA05,P02CA05,P02CA05 - Flubendazol,P02CA05 - Flubendazol
4031,P02CA06,P02CA06,P02CA06 - Fenbendazol,P02CA06 - Fenbendazol
4032,P02CA51,P02CA51,"P02CA51 - Mebendazol, combinaciones con","P02CA51 - Mebendazol, combinaciones con"
4033,P02CB,P02CB,P02CB - Piperazina y derivados,P02CB - Piperazina y derivados
4034,P02CB01,P02CB01,P02CB01 - Piperazina,P02CB01 - Piperazina
4035,P02CB02,P02CB02,P02CB02 - Dietilcarbamazina,P02CB02 - Dietilcarbamazina
4036,P02CC,P02CC,P02CC - Derivados de la tetrahidropirimidina,P02CC - Derivados de la tetrahidropirimidina
4037,P02CC01,P02CC01,P02CC01 - Pirantel,P02CC01 - Pirantel
4038,P02CC02,P02CC02,P02CC02 - Oxantel,P02CC02 - Oxantel
